ISO3,Country,Language,,,,,,
TTO,Trinidad and Tobago,EN,,,,,,
TCA,Turks and Caicos Islands,EN,,,,,,
TKL,Tokelau,EN,,,,,,
TON,Tonga,EN,,,,,,
TUV,Tuvalu,EN,,,,,,
UGA,Uganda,EN,,,,,,
UZB,Uzbekistan,RU,,,,,,
UKR,Ukraine,EN,,,,,,
USA,United States of America,EN,,,,,,
URY,Uruguay,ES,,,,,,
VNM,Viet Nam,EN,,,,,,
VAT,Holy See,EN,,,,,,
VGB,British Virgin Islands,EN,,,,,,
VCT,Saint Vincent and the Grenadines,EN,,,,,,
VIR,United States Virgin Islands,EN,,,,,,
VUT,Vanuatu,EN,,,,,,
VEN,Venezuela (Bolivarian Republic of),ES,,,,,,
WSM,Samoa,EN,,,,,,
WLF,Wallis and Futuna Islands,FR,,,,,,
YEM,Yemen,AR,,,,,,
ZAF,South Africa,EN,,,,,,
ZMB,Zambia,EN,,,,,,
ZWE,Zimbabwe,EN,,,,,,
