,TOTAL CERTIFIED (Sum FSC +PEFC),,,,,,,,,,,,,,,,,
HUN,0,0,54.7,134.5,134.5,134.5,195.1,195.8,195.1,251.9,251.9,248.7,310.3,321.561,320.963,306.58536,304.27295,304.42763
IDN,0,0,296.5,91.7,91.7,92.3,276.5,739.4,708,1697.3,1378.3,922.2,1252.7,1679.117,1930.169,2639.76054,3886.3083,6251.341
IMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,0,0,0.18,0,0,0,0,0.64,0.64,0.64,0.68,0.68,19.6,418.018,452.734,818.46584,754.91118,509.92653
IRL,397,397,397,397,397,397,401,401,402,399,399,399,399,445.975,823.219,824.22821,822.75511,822.75511
IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITA,0,0,14.32,14.73,370.783,623.19,653.691,671.31,733.665,753.682,811.058,813.132,820.791,833.292,788.079,874.16104,861.66115,891.69555
JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,12.44,14.61,14.61,178.44,204.53,269.96,277.5,277.61,279.08,329.33,369.58,392.61,397.17,400.352,421.688,392.87769,393.60318,523.86504
KAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,0,0,0,0,0,2.63,2.63,1.83,1.83,2.44,0.19,2.99,0.63,0.628,0.628,0,0,0
KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.746,12.746,12.746,7.89611
KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,0,0,0,0,0,0,36.47,155.8,155.8,219.58,220.53,295.85,295.85,375.175,381.192,384.216,390.568,392.291
KWT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAO,0,0,0,0,0,0,50.79,44.99,44.99,12.45,81.62,81.7,82.85,82.936,154.633,132.702,0.317,13.555
LBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIE,0,0,7.37,7.37,7.37,7.37,7.37,0,0,0,0,0,0,0,0,0,0,0
LKA,0,0,9.37,12.3,17.8,17.8,17.8,16.25,17.948,23.17,23.17,22.58,39.26,31.475,37.184,15.18258,14.60324,17.5219
LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTU,0,0,66.14,448.57,644.8,1005.53,1007.34,1044.32,677.09,976.94,1033.2,1049.41,1055.35,1057.834,1066.947,1073.221,1083.7895,1094.50243
LUX,0,0,0,0,0,17,20,35.34,37.35,46.84,45.84,48.48,50.73,50.404,51.535,52.7246,54.5536,54.299
LVA,0,0,923.53,1707.2,1717.2,1724.2,1664.95,1705.13,1624.13,1620.92,1622.59,1630.19,2417.14,3424.297,3434.153,3420.6705,3386.25871,2708.20198
MAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDG,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1.298,0
MDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,0,0,523.68,683.66,708.68,823.46,918.8,776.57,666.41,743.01,867.07,551.11,343.2,713.184,713.821,834.29913,921.38726,849.61466
MHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,0,0,0,0,0,0,25,25,25,71,71,52,52,51.55,51.949,59.90494,49.132,50.753
MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYS,73.3,73.3,73.3,73.3,73.3,73.3,69.19,71.66,320.55,367.91,4490.28,5142.13,5142.13,5119.45,5118.451,5335.14966,4642.65352,4863.8004
MYT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,0,0,270.73,270.73,270.73,292.16,306.49,219.62,219.62,327.92,277.32,270.03,275.17,240.837,224.335,142.474,152.888,225.477
NCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIC,0,0,30,39.66,42.46,42.46,42.46,11.53,40.78,18.57,94.74,92.84,33.43,27.753,23.545,25.55352,21.69603,25.93142
NIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLD,0,0,112.55,115.46,99.03,99.03,162.72,148.16,151.79,151.61,152.08,157.7,171.29,169.958,169.129,167.1346,136.31087,169.64657
NOR,5600,9100,9357.1,9154.1,9237.1,9237.1,9232,7537,7397,9145.63,9145.68,9221.57,9372.14,9392.337,9472.381,9618.40307,9560.60137,7825.17627
NPL,0,0,0,0,0,14.15,14.15,14.09,14.09,14.15,14.15,14.15,14.15,14.145,17.205,0,0,0
NRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZL,19.7,209.68,458.35,658.15,900.25,902.11,876.47,520.67,810.94,986.07,1071.84,1385.83,1499.47,1487.489,1271.528,1262.90187,1263.81957,1276.65212
OMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAN,0,0,0,0,1.87,1.87,2.67,9.02,9.02,11.21,13.56,13.56,14.26,51.216,43.413,44.21674,42.88409,22.50113
PCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PER,0,0,0,0,0,61.33,180.519,661.676,661.676,670.096,400.068,788.301,915.365,915.365,954.984,550.51654,498.837,669.72379
PHL,0,0,14.8,14.8,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0
PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNG,0,0,4.31,4.31,0,27.35,27.35,21.92,2.71,60.79,22.63,19.92,180,160.67,160.67,38.09903,36.49114,37.57514
POL,0,0,3717.42,6960.86,6973.01,6977.56,6977.56,4799.66,4624.19,6990.04,6704.4,10967.63,13639.54,14302.809,14223.591,14216.47591,14216.95395,14178.34279
PRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRT,0,0,0,0,0,101.3,101.3,74.6,186.1,392.8,638.9,485.4,518.9,566.217,575.557,607.98028,622.9001,636.0492
PRY,0,0,0,2.7,2.7,2.7,2.7,2.71,8.13,10.55,13.25,18.69,19.49,19.487,19.509,25.0221,25.0221,38.8798
PSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROU,0,0,31.61,31.61,31.61,48.9,941.55,1092.8,1080.32,917.47,914.68,717.06,717.06,2386.942,2554.414,2523.39461,2523.70695,2630.42721
RUS,0,0,146.51,1470.6,1573.97,4915.99,8351.32,15926.62,17974.94,21370.23,26577.318,29648.348,29578.018,36350.028,38788.728,42747.90769,52875.57109,56957.84656
RWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SJM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB,0,0,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,0,64.41,64.41,64.553,64.943,65.028,39.401,40.446
SLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.137
SLV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRB,0,0,0,0,0,0,0,40,169,369,372,1019,1019,998.429,1018.418,1001.94263,1001.34663,963.95463
SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUR,0,0,0,0,0,0,0,0,65.27,65.27,89.12,23.86,89.12,23.858,113.769,364.48,386.2,363.09
SVK,0,0,0,0,0,187,498,1329,1395,1413,1402,1380,1386,1387.541,1389.62,1387.65721,1398.01251,1383.58042
SVN,0,0,0,0,0,0,0,262,270,212,257,269,265,266.096,259.649,294.01061,302.21461,310.25879
SWE,1334,1983,14232.89,13344.18,13387.49,16164.3,16739.47,18661.98,18260,17705.01,19352.52,22370.85,22672.82,21503.112,21884.807,23075.284,23571.47167,23800.7525
SWZ,17,17,17,17,17,17,17,87,87,177,114,114,111,111.049,111.777,114.76093,124.52735,120.67393
SYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THA,0,0,8.37,8.37,2.94,2.94,2.94,1.81,6.22,18.92,19,18.57,23.42,192.101,25.698,44.23719,61.79476,63.37427
TJK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUR,0,0,0,0,0,0,0,0,0,0,0,80.1,699.7,1380.123,2346.799,2359.47275,2365.75345,2350.07845
TUV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TZA,0,0,0,0,0,0,0,15.56,15.56,36.36,20.8,46.96,51.27,112.779,131.975,142.731,172.052,183.697
UGA,0,0,191.6,191.6,191.6,191.6,191.6,112.1,204.21,222.85,101.27,106.95,112.1,27.454,40.072,38.974,38.975,40.875
UKR,0,203,203,0,203.1,143.1,790.1,1408.8,1008.8,1555.2,1262.5,1268.8,1455,1631.353,1439.047,3147.4207,2992.5918,3764.0711
URY,0,0,20.2,20.2,20.32,132.52,152.04,373.58,407.79,1059.63,2609.86,1212.15,806.56,826.359,925.084,1279.06801,1332.04616,1550.96873
USA,0,0,3510,3654,5475,7359,9694,9186,19733,21976,23454,24541,24912,48303.307,49000.77,46560.73739,47151.55929,46987.77085
UZB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEN,0,0,0,0,139.65,139.65,139.65,139.65,139.65,139.65,139.65,139.65,139.65,139.588,139.087,150.14,155.839,155.839
VGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNM,0,0,0,0,0,0,0,9.9,9.78,9.78,9.78,15.64,41.34,49.01,136.706,133.61301,157.31734,230.52968
VUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WLF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAF,1006.5,1006.5,1134.04,1637.39,1760.63,1720.73,1721.05,1551.47,1075.49,1678.54,2151.65,1744.4,1539.75,1544.885,1478.588,1275.31792,1459.43617,1400.58415
ZMB,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
ZWE,0,0,123.13,123.13,123.13,104.04,104.04,108.43,108.43,55.3,0,0,0,0,0,0,0,0
