country_iso,list_name_en,full_name_en,language
"UKR","Ukraine","Ukraine","en"
"URY","Uruguay","the Eastern Republic of Uruguay","en"
"USA","United States of America","the United States of America","en"
"UZB","Uzbekistan","the Republic of Uzbekistan","en"
"VAT","Holy See","Holy see","en"
"VCT","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","en"
"VEN","Venezuela (Bolivarian Republic of)","the Bolivarian Republic of Venezuela","en"
"VGB","British Virgin Islands","the British Virgin Islands","en"
"VIR","United States Virgin Islands","the United States Virgin Islands","en"
"VNM","Viet Nam","the Socialist Republic of Viet Nam","en"
"VUT","Vanuatu","the Republic of Vanuatu","en"
"WLF","Wallis and Futuna Islands","Wallis and Futuna Islands","en"
"WSM","Samoa","the Independent State of Samoa","en"
"YEM","Yemen","the Republic of Yemen","en"
"ZAF","South Africa","the Republic of South Africa","en"
"ZMB","Zambia","the Republic of Zambia","en"
"ZWE","Zimbabwe","the Republic of Zimbabwe","en"
